#               x              rho              vx               vy               vx               pre               Bx              By                Bz
  -0.16184750E+00   0.96451640E+00   0.61137020E-01  -0.19928450E-01   0.00000000E+00   0.94156290E+00   0.95584030E+00   0.95584030E+00   0.00000000E+00
  -0.16174720E+00   0.96410920E+00   0.61846220E-01  -0.20164040E-01   0.00000000E+00   0.94090050E+00   0.95533160E+00   0.95533160E+00   0.00000000E+00
  -0.16164700E+00   0.96370220E+00   0.62555290E-01  -0.20399700E-01   0.00000000E+00   0.94023850E+00   0.95482300E+00   0.95482300E+00   0.00000000E+00
  -0.16154680E+00   0.96329530E+00   0.63264240E-01  -0.20635410E-01   0.00000000E+00   0.93957700E+00   0.95431460E+00   0.95431460E+00   0.00000000E+00
  -0.16144660E+00   0.96288860E+00   0.63973060E-01  -0.20871190E-01   0.00000000E+00   0.93891600E+00   0.95380640E+00   0.95380640E+00   0.00000000E+00
  -0.16134640E+00   0.96248210E+00   0.64681760E-01  -0.21107030E-01   0.00000000E+00   0.93825540E+00   0.95329830E+00   0.95329830E+00   0.00000000E+00
  -0.16124630E+00   0.96207580E+00   0.65390330E-01  -0.21342930E-01   0.00000000E+00   0.93759530E+00   0.95279040E+00   0.95279040E+00   0.00000000E+00
  -0.16114620E+00   0.96166960E+00   0.66098790E-01  -0.21578900E-01   0.00000000E+00   0.93693570E+00   0.95228270E+00   0.95228270E+00   0.00000000E+00
  -0.16104600E+00   0.96126360E+00   0.66807110E-01  -0.21814930E-01   0.00000000E+00   0.93627650E+00   0.95177520E+00   0.95177520E+00   0.00000000E+00
  -0.16094590E+00   0.96085780E+00   0.67515320E-01  -0.22051020E-01   0.00000000E+00   0.93561780E+00   0.95126780E+00   0.95126780E+00   0.00000000E+00
  -0.16084590E+00   0.96045210E+00   0.68223400E-01  -0.22287170E-01   0.00000000E+00   0.93495950E+00   0.95076060E+00   0.95076060E+00   0.00000000E+00
  -0.16074580E+00   0.96004660E+00   0.68931360E-01  -0.22523390E-01   0.00000000E+00   0.93430180E+00   0.95025350E+00   0.95025350E+00   0.00000000E+00
  -0.16064570E+00   0.95964130E+00   0.69639190E-01  -0.22759670E-01   0.00000000E+00   0.93364440E+00   0.94974670E+00   0.94974670E+00   0.00000000E+00
  -0.16054570E+00   0.95923620E+00   0.70346900E-01  -0.22996010E-01   0.00000000E+00   0.93298760E+00   0.94923990E+00   0.94923990E+00   0.00000000E+00
  -0.16044570E+00   0.95883120E+00   0.71054490E-01  -0.23232420E-01   0.00000000E+00   0.93233120E+00   0.94873340E+00   0.94873340E+00   0.00000000E+00
  -0.16034570E+00   0.95842640E+00   0.71761950E-01  -0.23468890E-01   0.00000000E+00   0.93167520E+00   0.94822700E+00   0.94822700E+00   0.00000000E+00
  -0.16024570E+00   0.95802170E+00   0.72469290E-01  -0.23705420E-01   0.00000000E+00   0.93101980E+00   0.94772080E+00   0.94772080E+00   0.00000000E+00
  -0.16014470E+00   0.95761310E+00   0.73183800E-01  -0.23944450E-01   0.00000000E+00   0.93035800E+00   0.94720960E+00   0.94720960E+00   0.00000000E+00
  -0.16004370E+00   0.95720470E+00   0.73898180E-01  -0.24183550E-01   0.00000000E+00   0.92969670E+00   0.94669850E+00   0.94669850E+00   0.00000000E+00
  -0.15994280E+00   0.95679640E+00   0.74612430E-01  -0.24422720E-01   0.00000000E+00   0.92903590E+00   0.94618750E+00   0.94618750E+00   0.00000000E+00
  -0.15984190E+00   0.95638830E+00   0.75326560E-01  -0.24661950E-01   0.00000000E+00   0.92837550E+00   0.94567680E+00   0.94567680E+00   0.00000000E+00
  -0.15974090E+00   0.95598030E+00   0.76040560E-01  -0.24901240E-01   0.00000000E+00   0.92771560E+00   0.94516620E+00   0.94516620E+00   0.00000000E+00
  -0.15964000E+00   0.95557260E+00   0.76754440E-01  -0.25140600E-01   0.00000000E+00   0.92705620E+00   0.94465580E+00   0.94465580E+00   0.00000000E+00
  -0.15953910E+00   0.95516500E+00   0.77468190E-01  -0.25380020E-01   0.00000000E+00   0.92639730E+00   0.94414560E+00   0.94414560E+00   0.00000000E+00
  -0.15943830E+00   0.95475760E+00   0.78181810E-01  -0.25619510E-01   0.00000000E+00   0.92573880E+00   0.94363550E+00   0.94363550E+00   0.00000000E+00
  -0.15933740E+00   0.95435030E+00   0.78895310E-01  -0.25859060E-01   0.00000000E+00   0.92508080E+00   0.94312560E+00   0.94312560E+00   0.00000000E+00
  -0.15923660E+00   0.95394330E+00   0.79608680E-01  -0.26098680E-01   0.00000000E+00   0.92442330E+00   0.94261590E+00   0.94261590E+00   0.00000000E+00
  -0.15913580E+00   0.95353640E+00   0.80321930E-01  -0.26338360E-01   0.00000000E+00   0.92376620E+00   0.94210630E+00   0.94210630E+00   0.00000000E+00
  -0.15903500E+00   0.95312970E+00   0.81035050E-01  -0.26578100E-01   0.00000000E+00   0.92310960E+00   0.94159690E+00   0.94159690E+00   0.00000000E+00
  -0.15893420E+00   0.95272310E+00   0.81748050E-01  -0.26817920E-01   0.00000000E+00   0.92245340E+00   0.94108770E+00   0.94108770E+00   0.00000000E+00
  -0.15883340E+00   0.95231670E+00   0.82460920E-01  -0.27057790E-01   0.00000000E+00   0.92179780E+00   0.94057860E+00   0.94057860E+00   0.00000000E+00
  -0.15873270E+00   0.95191050E+00   0.83173660E-01  -0.27297740E-01   0.00000000E+00   0.92114250E+00   0.94006970E+00   0.94006970E+00   0.00000000E+00
  -0.15863200E+00   0.95150450E+00   0.83886280E-01  -0.27537740E-01   0.00000000E+00   0.92048780E+00   0.93956100E+00   0.93956100E+00   0.00000000E+00
  -0.15853120E+00   0.95109870E+00   0.84598770E-01  -0.27777810E-01   0.00000000E+00   0.91983350E+00   0.93905250E+00   0.93905250E+00   0.00000000E+00
